Crime,Case Number,Date/Time Reported,Date/Time Occurred,General Location,Disposition
Auto Theft,IN20170000007,1/1/17 11:02 PM,1/1/17 11:02 PM,1920 Orleans Street,Closed-Referred to BPD
Aggravated Assault,IN20170000011,1/2/17 12:30 PM,1/2/17 12:30 PM,Nelson Building 8th floor,Closed-Subject Arrested
Theft,IN20170000016,1/3/17 8:20 AM,"12/23/16 11:30 AM -
1/3/17 8:20 AM",CMSC Building 1st floor,"Closed-No Suspects or
Witnesses"
Theft,IN20170000024,1/4/17 8:25 AM,1/4/17 8:20 AM,Miller Research Building 1st floor,Closed-Subject Arrested
Theft,IN20170000029,1/4/17 2:15 PM,"1/3/16
8:00 AM - 10:56 AM",Ross Building 6th floor,Closed-Subject Arrested
Theft,IN20170000031,1/4/17 3:45 PM,"1/4/17
8:00 AM - 9:50 AM",Ross Building 6th floor,Closed-Subject Arrested
Theft,IN20170000032,1/4/17 12:00 PM,1/4/17 12:00 PM,Fayette & Wolfe Streets,Closed-Subject Arrested
Theft,IN20170000039,1/5/17 2:30 PM,"1/1/17 time unknown -
1/5/17 2:30 PM",Halsted Building 3rd Floor,"Closed-No Suspects or
Witnesses"
Robbery,IN20170000043,1/5/17 7:00 PM,1/5/17 7:00 PM,1500 block Jefferson Street,Closed-Referred to BPD
Theft from Auto,IN20170000042,1/5/17 6:00 PM,"1/5/17
2:55 PM - 6:00 PM",600 block Castle Street,Closed-Referred to BPD
Vandalism,IN20170000048,1/6/17 8:25 PM,1/6/17 8:25 PM,"Zayed Tower 1st floor; AED
Pysch",Closed-Referred to Dept
Trespassing,IN20170000055,1/8/17 11:39 AM,1/8/17 11:39 AM,Billings Building 1st floor,Closed-Subject Banned
Trespassing,IN20170000056,1/8/17 12:29 PM,1/8/17 12:29 PM,Billings Building 1st floor,Closed-Subject Banned
Disorderly Conduct,IN20170000063,1/9/17 11:00 AM,1/9/17 11:00 AM,"Bloomberg Building 1st floor;
Balducci's",Closed-Subject Banned
Assault,IN20170000064,1/9/17 3:05 PM,1/9/17 3:05 PM,"Zayed Tower 2nd floor; Arcade
Pharmacy",Closed-Subject Arrested
Vandalism,IN20170000074,1/10/17 8:30 AM,"1/9/17 5:00 PM -
1/10/17 8:30 AM",550 Building 5th floor,"Closed-No Suspects or
Witnesses"
Assault/Domestic Violence,IN20170000083,1/11/17 11:04 AM,12/22/16 12:00 PM,2000 block E. Madison Street,Closed-Referred to BPD
Theft from Auto,IN20170000086,1/11/17 1:00 PM,"1/11/17
8:30 AM - 1:00 PM",700 Castle Street,Closed-Referred to BPD
Assault,IN20170000089,1/11/17 3:55 PM,1/11/17 3:55 PM,Nelson Building 6th floor,"Closed-Victim Declined to
Prosecute"
Vandalism,IN20170000098,1/12/17 11:15 AM,"1/11/17
12:00 PM - 4:00 PM",700 N. Chester Street,"Closed-No Suspects or
Witnesses"
Assault,IN20170000099,1/12/17 6:11 PM,"1/3/17
3:00 AM - 4:00 AM",Outpatient Center 5th floor,Closed-Referred to Dept
Theft,IN20170000118,1/13/17 time unknown,1/10/17 - 1/12/17,Nelson Building 8th floor,Under Investigation
Theft,IN20170000108,1/13/17 5:45 PM,1/13/17 5:45 PM,"Zayed Tower 2nd floor; Arcade
Pharmacy",Closed-No Identifiable Suspect
Assault,IN20170000127,1/15/17 10:30 PM,1/15/17 7:00 PM,Meyer Building 5th floor,"Closed-Victim Declined to
Prosecute"
Theft,IN20170000137,1/17/17 2:20 PM,"1/17/17
10:00 AM - 12:00 PM",Zayed Tower 8th floor,"Closed-No Suspects or
Witnesses"
Assault,IN20170000153,1/18/17 3:55 PM,1/18/17 3:55 PM,"Zayed Tower 1st floor; AED
Pysch","Closed-Victim Declined to
Prosecute"
Assault,IN20170000178,1/21/17 5:05 AM,1/21/17 5:05 AM,Bloomberg Building 10th floor,"Closed-Victim Declined to
Prosecute"
Theft,IN20170000183,1/21/17 8:10 AM,"1/21/17
06:30 AM - 8:00 PM",1900 Monument Street,Closed-Referred to BPD
Theft,IN20170000182,1/21/17 5:15 PM,"1/21/17
8:30 AM - 5:15 PM",Monument & Wolfe Streets,Closed-Referred to BPD
Trespassing,IN20170000184,1/22/17 2:29 AM,1/22/17 2:27 AM,Zayed Tower 5th floor,Closed-Subject Arrested
Bomb Threat,IN20170000187,1/22/17 9:17 PM,1/22/17 9:17 PM,Zayed Tower Lobby,Closed-Referred to BPD
Theft from Auto,IN20170000214,1/23/17 8:55 AM,1/23/17 8:55 AM,McElderry Garage Level 3,Closed-Referred to BPD
Assault,IN20170000195,1/23/17 10:30 AM,1/23/17 10:30 AM,Bloomberg Building 10th floor,"Closed-Victim Declined to
Prosecute"
